song_id,kl_mixed,kl_sep
786.0,0.42521,0.5915792
788.0,1.4820187,0.31830454
789.0,3.6951041,4.0854406
790.0,0.14431274,0.40654767
791.0,0.07787502,0.058597088
792.0,1.1766253,1.1505351
793.0,0.10984492,0.0799526
794.0,0.05076766,0.010641217
796.0,1.0415661,1.498554
797.0,0.5739467,0.5409696
798.0,0.37020397,0.47822618
799.0,0.71928334,0.69139266
801.0,0.7416973,0.4947393
803.0,0.153736,0.10946059
804.0,0.81928515,0.30239296
806.0,0.55907965,0.12539184
807.0,0.07885051,0.14234233
808.0,0.52060366,0.5859704
809.0,1.9530237,1.738349
810.0,0.56993437,0.50901926
812.0,0.26230645,0.2601949
813.0,0.5624782,0.34029388
814.0,2.1890566,1.7287235
815.0,0.35529482,0.4873731
816.0,0.14912915,0.19812167
818.0,1.379055,1.9110568
820.0,0.4854951,0.65182924
821.0,0.015481472,0.029912591
823.0,0.389364,0.10688424
824.0,0.8498554,1.3769019
825.0,5.2519197,5.6418285
827.0,2.3452635,4.151867
828.0,0.12147808,0.18021286
829.0,0.39105546,0.5846144
830.0,0.19806683,0.3085798
831.0,4.722316,6.15745
832.0,0.34034526,0.40559006
833.0,0.17449522,0.22935033
834.0,0.9358387,4.3124943
835.0,0.81523323,0.891835
836.0,0.34608388,0.4426576
837.0,0.12872529,0.12540817
839.0,0.19718719,0.21971667
842.0,0.64012754,0.5952946
844.0,0.09418142,1.4700074
846.0,2.2102199,1.9380262
847.0,0.91782856,0.97340083
848.0,0.41128433,0.29267907
850.0,0.30350316,0.34019005
851.0,1.2169924,2.7914727
852.0,0.20741725,0.2923026
853.0,0.52434325,0.3381374
854.0,0.33816028,0.40207672
855.0,0.9960134,0.9843948
857.0,1.7427433,3.5799022
858.0,0.42531884,0.41891634
859.0,0.42363346,0.48111534
860.0,0.09950304,0.16740131
861.0,0.17999077,0.15808976
862.0,1.1462309,0.99451184
863.0,0.19153202,0.17873847
864.0,0.044402838,0.08564663
865.0,1.5874059,1.8585467
868.0,0.40677917,0.14339137
869.0,1.1223142,1.019697
870.0,0.43152237,0.6667714
871.0,0.080637336,0.32245266
876.0,0.23319876,0.2787397
879.0,0.7651317,0.5236815
880.0,0.50514233,0.5444405
881.0,0.14621294,0.22047222
882.0,0.4007342,0.4209113
883.0,0.39774704,0.39376462
884.0,1.4987841,1.1292233
885.0,0.055547357,0.04724574
886.0,1.1693494,1.3052459
888.0,1.9999342,2.8722062
889.0,0.040962934,0.098671556
890.0,5.1110826,3.4212446
892.0,0.5098593,0.4136299
894.0,0.30149102,0.78201723
895.0,1.4356527,1.8601131
896.0,0.20378017,0.19962347
897.0,0.39365304,0.5289961
900.0,0.16847038,0.2933507
903.0,0.48669124,0.5576637
904.0,0.35752177,0.33907294
905.0,0.5458491,0.1925621
906.0,0.8003011,1.3993666
907.0,0.22604525,0.23063731
908.0,1.2239735,1.4444427
909.0,0.1423502,0.11974633
911.0,0.35010433,0.12036228
913.0,0.3160751,0.4611168
915.0,0.23313606,0.3892405
916.0,0.9845102,1.3356447
917.0,0.9394324,0.745162
918.0,0.6547613,0.8874235
919.0,1.4323604,2.1534276
921.0,2.9185936,3.6769667
922.0,0.029248714,0.017621756
924.0,0.24834442,1.0855894
925.0,0.38898015,0.43042874
926.0,0.8755889,1.5454643
927.0,1.534277,2.3645682
928.0,2.5280108,0.8910525
929.0,0.5091659,0.54272485
931.0,0.4889462,0.6147342
932.0,0.81746006,0.16821122
933.0,0.6393666,0.74400926
934.0,0.7419996,0.4847188
935.0,0.38211882,0.33255005
936.0,0.31593347,0.2788098
937.0,0.5569804,0.29607153
938.0,0.16328907,0.11755228
939.0,0.17000413,0.07276392
940.0,0.36562967,0.32696366
941.0,1.3607662,1.2501936
943.0,1.641345,1.7764592
945.0,0.22429347,0.11927688
946.0,0.35212922,0.20744288
948.0,0.17229044,0.059508443
950.0,0.58619,1.9760263
951.0,1.9035404,1.5162747
952.0,0.13079631,0.05820334
953.0,0.8993013,0.82718086
957.0,1.5710883,0.3273449
958.0,2.757206,2.0898428
959.0,1.7193575,1.7576566
962.0,2.1044335,2.788358
964.0,0.30235994,0.4426298
965.0,0.39778352,0.4575832
966.0,0.04842627,0.113309264
967.0,0.959008,1.2775934
968.0,0.34705496,0.2507211
969.0,1.6675553,1.8568392
970.0,0.5020437,0.73603415
971.0,1.1132901,0.8721206
973.0,0.34441876,0.40023804
974.0,0.19043708,0.56458235
978.0,0.25369632,0.18722582
979.0,0.057787895,0.064065695
980.0,0.3719231,0.31411517
981.0,0.35214043,0.3451991
983.0,1.0105269,0.80031395
984.0,0.96434426,3.939292
985.0,0.07711601,0.053690434
989.0,0.62041366,1.2919979
992.0,0.5212718,0.26179004
993.0,1.1117733,0.83981204
996.0,0.5393789,0.6187794
997.0,0.37180233,0.39427638
999.0,0.20334685,0.47745895
1000.0,0.7652823,0.9883754
