fold,train_loss,valid_loss
0,6.393714621910399e-06,0.00017267937279499829
1,6.670435099368767e-06,0.00016331861133205968
2,6.101991631222127e-06,0.00020410264466691312
3,6.44905926268149e-06,0.0001641181900720854
4,6.558647570808936e-06,0.00016540464618933264
5,6.1977619367608585e-06,0.00018200446459517626
6,6.259635296577618e-06,0.00018707650619891362
7,6.412802713122956e-06,0.00017631870723588695
8,6.479057696983565e-06,0.00017819917865926748
9,6.422804723012511e-06,0.00015039476033210555
