fold,train_loss,valid_loss
0,6.443890475721162e-06,0.00018714436741422267
1,6.595974945401122e-06,0.0001669300925277638
2,6.41963291004471e-06,0.00020735323358687255
3,6.636833976730155e-06,0.00016632126907328956
4,6.439625469892216e-06,0.0001779488415092454
5,6.282389216273192e-06,0.000182102563486799
6,6.307852461140734e-06,0.00020315532838259298
7,6.704447752936288e-06,0.0001815151688989556
8,6.551498568919996e-06,0.00018391919601480302
9,6.476762494425872e-06,0.00016693233268326194
