fold,train_loss,valid_loss,,
0,0.000987656,0.007316676,0.029266702,0.028379869
1,0.00101058,0.006569945,0.026279778,
2,0.000966258,0.00814972,0.03259888,
3,0.001025306,0.006448737,0.02579495,
4,0.000979432,0.006947647,0.027790587,
5,0.000979769,0.007250329,0.029001318,
6,0.000964348,0.007694585,0.030778338,
7,0.001014418,0.007186121,0.028744485,
8,0.001001976,0.007023913,0.028095651,
9,0.001002163,0.006362001,0.025448005,
