song_id,kl_mixed,kl_sep
59.0,0.23024654,0.32151604
623.0,0.8193631,0.68643475
924.0,1.0224895,0.53483796
853.0,0.20956683,0.27738166
981.0,0.675436,0.59610987
564.0,3.6215415,2.9687257
338.0,0.3022802,0.19798481
360.0,0.29828823,0.531816
239.0,1.3258796,0.31064773
186.0,0.058843613,0.015124798
30.0,0.65758157,0.6964674
204.0,1.0338233,1.8689952
776.0,0.2625847,0.3811059
216.0,0.4292314,0.2263006
321.0,0.8409567,0.7496481
90.0,0.3657173,1.0194268
69.0,0.85162663,1.128695
551.0,0.49202442,0.27703118
566.0,3.0643587,3.458026
211.0,3.166812,2.5064287
133.0,1.7362669,1.0518687
215.0,1.2974026,0.9718447
71.0,0.3164816,0.32579696
309.0,0.41167855,0.47961664
476.0,1.0480275,1.0164356
139.0,2.1668298,2.179553
86.0,0.06465042,0.10023761
609.0,5.307503,2.2980387
808.0,2.0499787,2.5499737
648.0,0.31188464,0.70144975
63.0,1.3427968,0.94147897
236.0,6.523445,7.2182703
372.0,5.6456914,3.8095589
142.0,0.19461644,0.19241595
329.0,0.85026073,0.90641856
825.0,1.5869093,1.7193751
710.0,0.72411466,1.3039644
973.0,2.086214,2.3768098
823.0,0.85082686,0.8643062
136.0,0.28499508,0.50183177
402.0,2.12231,2.9357986
116.0,5.487322,5.0305233
312.0,6.551674,6.7116985
514.0,2.5913951,1.7341347
546.0,3.496553,3.274888
405.0,2.5513623,2.1793785
894.0,9.25074,9.311643
506.0,7.726905,6.7199807
152.0,2.7616315,3.2741914
120.0,2.1456623,2.661579
852.0,0.74120116,0.9273262
780.0,6.1338625,3.2530289
605.0,3.1342597,3.7333107
144.0,1.4065673,1.4709663
447.0,0.99474716,0.9457383
574.0,3.5723133,3.6627965
561.0,1.3183224,1.5462039
615.0,4.219167,3.6255364
895.0,0.9395716,0.57714593
741.0,0.5899296,0.8727572
127.0,0.6389396,0.5666628
14.0,1.6257603,0.9446931
469.0,0.5711287,0.50546825
634.0,7.4605913,2.9869115
339.0,0.4060608,0.503996
862.0,6.6037054,5.7961936
662.0,1.6281102,1.1213119
153.0,1.0196419,0.97386956
230.0,2.8903236,2.3802347
356.0,7.590581,6.171281
937.0,1.7881591,0.58689713
759.0,2.635402,1.6985152
653.0,0.98604417,1.0306065
908.0,0.82969296,0.51848507
560.0,1.9155989,1.365222
149.0,4.3006554,3.496151
989.0,7.4614897,6.645646
813.0,1.6245406,1.8173745
803.0,0.51596594,0.81242144
435.0,1.8196712,6.3314734
393.0,0.31481457,0.31899548
552.0,7.9193172,5.777286
407.0,0.4954357,1.4356947
252.0,1.1566777,1.6597102
654.0,2.488304,4.102092
493.0,1.6172609,1.7331016
784.0,3.8564615,3.518064
650.0,0.45418704,0.66080856
550.0,4.5102844,5.0460253
660.0,7.1626263,7.527479
626.0,9.134879,9.457821
913.0,1.6687014,1.1960855
688.0,0.06353879,0.041281104
331.0,5.5786195,6.752968
754.0,3.1502047,2.611406
294.0,0.57554066,1.0313225
353.0,0.5266899,0.13069129
788.0,0.5890976,0.3150667
524.0,2.4428942,3.3048625
385.0,0.59670854,0.6263075
673.0,11.37985,8.580518
682.0,2.054742,2.430636
300.0,2.8974643,2.8747473
639.0,1.4772921,2.0129514
65.0,1.8498547,1.8153191
857.0,3.6725693,5.0133433
57.0,0.5366496,0.37557268
318.0,0.91046166,2.16011
736.0,2.0379877,1.5156639
260.0,11.790716,11.078638
293.0,0.35082316,0.2026763
985.0,4.214413,4.228794
99.0,0.7278843,0.89581764
628.0,0.50780416,0.46720672
47.0,4.17399,2.7740312
970.0,2.3070703,2.2439907
354.0,10.179816,7.7108765
383.0,3.5398884,4.168993
165.0,0.08697808,0.17882168
141.0,2.261022,1.7534146
716.0,1.8700035,1.6329582
869.0,4.8337398,4.5104246
578.0,0.28890347,0.45135212
263.0,3.0975857,3.937429
713.0,1.8783104,2.2780035
775.0,1.7803512,3.0638657
391.0,0.44405866,0.387815
928.0,3.3942432,3.1358824
443.0,0.026420593,0.0127853155
644.0,1.7581713,2.5500739
83.0,0.027627468,0.04020524
298.0,0.88379204,1.2723305
576.0,0.54518974,1.2101831
507.0,3.3859835,3.5586314
292.0,7.571992,7.354083
440.0,1.3726323,1.859484
745.0,0.5681814,0.5103972
676.0,0.30355918,0.30575705
241.0,1.4427676,1.0223558
839.0,0.9942217,1.9564145
565.0,0.27924323,0.5350425
539.0,0.21823883,0.3648336
201.0,2.5463421,2.264727
915.0,1.1472363,0.7734871
446.0,3.228578,4.1083736
678.0,2.0270185,2.2178597
117.0,3.0883722,2.5669208
227.0,0.094641924,0.09903014
548.0,10.736022,12.752422
119.0,2.4229963,1.1206768
411.0,9.368694,10.521779
791.0,0.12968838,0.092451215
720.0,0.15698671,0.22764504
779.0,0.8633636,1.2327464
