song_id,kl_mixed,kl_sep
852.0,0.44077206,0.59761024
386.0,0.684885,0.16188371
487.0,0.8906057,0.20472968
771.0,0.35860538,0.27480912
368.0,0.635393,0.5000775
427.0,0.28611338,0.4201969
814.0,1.729094,0.95562685
33.0,0.5433376,0.41521335
141.0,0.40281022,1.0301313
234.0,0.07804227,0.1536398
561.0,0.9706261,1.7262642
562.0,0.26035905,0.03582239
421.0,0.42762184,1.3510311
929.0,1.1774142,1.0309806
968.0,0.82779837,0.5128981
418.0,0.18154061,0.84990454
171.0,0.08500123,0.2410003
32.0,0.68340766,0.57821035
869.0,1.1424568,0.14864671
486.0,0.33920765,0.5192323
791.0,0.0464077,1.8714855
535.0,0.70274305,1.1730127
579.0,1.6479712,3.5973125
217.0,0.034301996,0.100878716
548.0,1.2625234,0.3087045
625.0,0.5544374,0.45745826
913.0,0.60443497,0.6934149
678.0,1.2104633,2.2073197
71.0,0.3561685,0.42159653
974.0,0.42586708,0.16447711
479.0,0.3030628,0.5313463
360.0,0.5979581,0.3454299
706.0,0.47721827,0.45485616
426.0,0.16188788,1.2470641
470.0,0.92082095,1.1032476
659.0,1.0017114,0.4742098
39.0,0.8512733,1.1943038
496.0,0.692013,1.0392146
46.0,1.542319,2.6205385
1.0,0.22165465,0.33766317
801.0,0.20497584,1.3844259
412.0,0.21147633,0.45506883
919.0,0.7994236,0.7956017
331.0,0.5479491,1.6149178
385.0,0.1308583,0.7576566
731.0,0.46169996,0.2740183
137.0,0.5761912,1.291964
736.0,0.8230045,1.234664
132.0,0.13672805,0.39094853
639.0,1.0895679,1.6656713
54.0,1.792753,4.5003877
428.0,0.21142459,0.15802848
715.0,0.53422403,0.46616006
423.0,0.7560675,1.3174944
172.0,1.124439,0.56458414
809.0,2.4336014,1.9098468
922.0,0.024681926,1.5076337
413.0,0.8187549,0.18297029
539.0,0.76467955,0.3306811
90.0,1.528786,1.3164673
906.0,0.31491113,0.9906622
536.0,0.1830107,1.1078298
959.0,1.6027632,1.7616487
979.0,0.14859068,0.12704921
804.0,0.2736715,0.80368066
443.0,0.25569117,0.16813803
204.0,1.5004466,0.7555804
934.0,3.0888958,3.080069
159.0,1.0880613,2.5246754
83.0,0.1318605,0.016534686
366.0,0.09292865,1.3975108
84.0,3.1290317,1.7443314
744.0,0.41863,0.59030426
160.0,0.7255988,0.62667
348.0,0.44410968,1.0184493
158.0,1.3148599,2.5085015
296.0,1.1854537,2.3848705
222.0,1.4805434,1.5870962
469.0,0.66376865,0.4495926
966.0,0.26754558,0.30779696
570.0,0.98674345,1.3482168
591.0,0.4472432,0.551404
871.0,0.123315096,0.21126378
198.0,0.56000686,1.2274096
187.0,1.4125361,1.2301111
232.0,0.5410625,0.2976489
863.0,0.31601262,0.14598405
51.0,0.21886945,0.28382576
699.0,0.20487344,0.73280954
414.0,0.4864211,0.89127874
526.0,0.17181647,0.034388423
253.0,1.37376,0.19641232
520.0,3.292471,3.8277683
265.0,1.4913633,0.6407318
937.0,1.343893,0.19814503
711.0,0.6925472,0.40869045
818.0,1.3212152,3.4696221
565.0,0.3744762,0.17485106
48.0,0.73056126,2.5393481
741.0,0.3732679,0.51208234
325.0,0.17193687,0.16875637
180.0,2.0353239,1.5949526
460.0,0.2952348,1.0632756
55.0,1.9628754,1.2057712
589.0,0.34713924,0.16614842
403.0,0.22025323,0.20226681
9.0,3.2320752,3.0599298
821.0,0.07273984,0.9558165
761.0,2.6571586,1.1401341
228.0,0.79537535,0.56425667
993.0,1.3526688,1.9314237
921.0,2.6207354,1.1776278
590.0,0.23475909,0.56052554
252.0,3.6847515,1.1974511
705.0,0.49886942,1.1170652
28.0,0.5010594,0.1276567
927.0,0.7353916,0.62860703
120.0,3.0999784,3.036933
397.0,0.4155749,1.7236159
310.0,1.70718,1.679636
674.0,1.5948923,3.2971916
349.0,0.28864574,1.1809564
444.0,0.22194552,0.98695016
69.0,0.64324486,1.6834662
567.0,0.5404334,2.604683
50.0,0.58331287,0.66329956
500.0,2.0167303,2.1874452
839.0,0.1934334,0.22816324
321.0,1.1019509,0.6634164
945.0,0.30583,0.16257572
582.0,1.1006904,0.13359654
295.0,0.22889972,0.17336142
260.0,0.8290944,1.3836448
402.0,1.2206626,1.5019238
911.0,0.3478229,0.57769156
391.0,0.68283916,1.4687116
851.0,0.62864804,0.23921084
936.0,0.21737647,0.4293573
970.0,0.5985129,0.59149337
307.0,1.6036904,1.5601969
824.0,1.630466,1.922507
79.0,1.5169046,1.6850107
765.0,1.1533365,1.8320532
816.0,0.42449355,0.4298718
6.0,0.9167876,0.96280646
628.0,0.046881914,0.26108778
750.0,0.44858444,1.9987214
235.0,1.9843268,1.0716474
468.0,0.99093544,1.9567032
792.0,0.5878148,0.9154506
450.0,0.18738759,0.23345077
324.0,2.3582,2.3347535
862.0,0.65468764,1.3976741
44.0,0.2880422,0.6510143
