mean_mixed,mean_sep,med_mixed,med_sep,wilcoxon
0.9478641071883117,1.7829204703311687,0.5259328,1.4227769,5.010693546973324e-10
1.0750019786623377,0.9922125943376624,0.5696633,0.7531202,0.512017748767563
0.8902270518246753,1.0734189211103895,0.5902958,0.6858692,0.03277283558899151
0.8459937079350649,1.0371139998376624,0.60443497,0.80368066,0.002334589204080425
0.7745801220129871,0.8320860070844156,0.5257273,0.6257607,0.004212341479168151
0.7033908235389611,0.9447927308441558,0.5302237,0.646909,0.00029117130802604326
0.8287237480779219,1.665524657253247,0.56659186,1.1298862,8.090690403275277e-14
1.011604913409091,0.9943342298766232,0.6437168,0.5886606,0.19002800410911658
1.194537384064935,1.9678758919740258,0.73995817,1.0612242,2.0461967080405898e-05
1.107058808285714,1.2715827023571427,0.7118561,0.8363676,0.005608898616681649
